time,pos,vel,torque
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.043547499071079798e+00
1.000000000000000888e-01,3.860554522972270419e-02,7.870285830358844104e-01,1.398246107538058114e+00
2.000000000000001776e-01,1.548436068123128229e-01,1.499329291906576378e+00,1.500000000000000000e+00
3.000000000000002665e-01,3.280643199230075524e-01,1.903105495305513983e+00,1.500000000000000000e+00
4.000000000000003553e-01,5.228864893025215732e-01,1.933164701404233687e+00,1.485277272568294338e+00
5.000000000000004441e-01,6.974105178773646330e-01,1.449473574002449805e+00,8.874238468973432159e-01
6.000000000000005329e-01,7.920301838659941085e-01,3.454115370754269332e-01,7.932894256523193022e-02
7.000000000000006217e-01,7.497881501393830472e-01,-1.258240761058942114e+00,-8.305919782290289710e-01
8.000000000000007105e-01,5.342985285047165966e-01,-3.041990345512152416e+00,-1.499999999999998668e+00
9.000000000000007994e-01,1.565342826921662100e-01,-4.374492147935531428e+00,-1.500000000000000000e+00
1.000000000000000888e+00,-3.096677081613873339e-01,-4.791637503404366782e+00,-1.500000000000000000e+00
1.100000000000000977e+00,-7.726024299294287356e-01,-4.346236009169741621e+00,-1.500000000000000000e+00
1.200000000000001066e+00,-1.161282471888208656e+00,-3.372644071656552445e+00,-1.500000000000000000e+00
1.300000000000001155e+00,-1.437130990498426186e+00,-2.093049432110347663e+00,-1.074707971167772946e+00
1.400000000000001243e+00,-1.566929189868512928e+00,-4.188799310035193346e-01,-1.264999621253570794e-01
1.500000000000001332e+00,-1.504223043470011678e+00,1.757266811797180361e+00,9.302226486025207963e-01
1.600000000000001421e+00,-1.205957296281426228e+00,4.210728558992411052e+00,1.499999999999997335e+00
1.700000000000001510e+00,-6.742037647743007733e-01,6.286764322580295605e+00,1.500000000000000000e+00
1.800000000000001599e+00,1.399997241049869001e-02,7.251750028774169188e+00,1.500000000000000000e+00
1.900000000000001688e+00,7.292202730511305742e-01,6.846432602980479842e+00,1.500000000000000000e+00
2.000000000000001776e+00,1.353652055345802685e+00,5.563158792017558696e+00,1.500000000000000000e+00
2.100000000000001865e+00,1.838451620990279478e+00,4.161267686713288505e+00,1.500000000000000000e+00
2.200000000000001954e+00,2.197097773181287295e+00,3.080934302816164205e+00,1.500000000000000000e+00
2.300000000000002043e+00,2.467108845582501875e+00,2.369894472107010319e+00,1.306391402491690279e+00
2.400000000000002132e+00,2.677586862266329693e+00,1.853236035096647472e+00,8.482495741129049138e-01
2.500000000000002220e+00,2.840774511537170977e+00,1.426259289716236056e+00,4.945211466971158876e-01
2.600000000000002309e+00,2.965534668331156087e+00,1.080257349718153348e+00,1.994062361803420336e-01
2.700000000000002398e+00,3.058124398240282371e+00,7.735055848342027307e-01,-8.758763068711392097e-02
2.800000000000002487e+00,3.119092027109841236e+00,4.324711375857062667e-01,-4.247348802238003485e-01
2.900000000000002576e+00,3.141592653589792672e+00,-1.734723475976807094e-18,-7.035631352293503227e-01
